"_v [cm]","Freq [GHz]","_u []","im(NearEX) [V_per_meter]"
-75,2.4,0.2475,2.64840885605677
-75,2.4,0.255,2.55177846328408
-75,2.4,0.2625,2.41973558671107
-75,2.4,0.27,2.25213155416906
-75,2.4,0.2775,2.0496121106091
-75,2.4,0.285,1.81369467777736
-75,2.4,0.2925,1.54682797930842
-75,2.4,0.3,1.25242906976575
-75,2.4,0.3075,0.934892937921081
-75,2.4,0.315,0.599570235408806
-75,2.4,0.3225,0.252709338713245
-75,2.4,0.33,-0.0986400979772292
-75,2.4,0.3375,-0.446763695560783
-75,2.4,0.345,-0.783459075013904
-75,2.4,0.3525,-1.10025103794646
-75,2.4,0.36,-1.3886415004847
-75,2.4,0.3675,-1.64038836187036
-75,2.4,0.375,-1.84780533392759
-75,2.4,0.3825,-2.00384361211532
-75,2.4,0.39,-2.10330845696019
-75,2.4,0.3975,-2.14181041212324
-75,2.4,0.405,-2.11691563598264
-75,2.4,0.4125,-2.02814993895341
-75,2.4,0.42,-1.8771614841314
-75,2.4,0.4275,-1.66781061414265
-75,2.4,0.435,-1.40617494465364
-75,2.4,0.4425,-1.10046068068022
-75,2.4,0.45,-0.760814779091272
-75,2.4,0.4575,-0.399037004563701
-75,2.4,0.465,-0.0281959510895537
-75,2.4,0.4725,0.33784148832847
-75,2.4,0.48,0.6849521946334
-75,2.4,0.4875,0.999350100890549
-75,2.4,0.495,1.26820555250889
-75,2.4,0.5025,1.48026173864106
-75,2.4,0.51,1.62641653866534
-75,2.4,0.5175,1.70023703335023
-75,2.4,0.525,1.69837463363919
-75,2.4,0.5325,1.62085144090837
-75,2.4,0.54,1.47119312196156
-75,2.4,0.5475,1.25639018444504
-75,2.4,0.555,0.986677861329868
-75,2.4,0.5625,0.675134505222793
-75,2.4,0.57,0.337118480591226
-75,2.4,0.5775,-0.0105268550448355
-75,2.4,0.585,-0.35015147720435
-75,2.4,0.5925,-0.664356300061855
-75,2.4,0.6,-0.936895613034771
-75,2.4,0.6075,-1.15359589496624
-75,2.4,0.615,-1.30319286730732
-75,2.4,0.6225,-1.37803244282853
-75,2.4,0.63,-1.3745863379845
-75,2.4,0.6375,-1.29374182967522
-75,2.4,0.645,-1.14083714345033
-75,2.4,0.6525,-0.925428690301037
-75,2.4,0.66,-0.660793008372776
-75,2.4,0.6675,-0.36318379307488
-75,2.4,0.675,-0.0508816447660874
-75,2.4,0.6825,0.256910114928356
-75,2.4,0.69,0.541257236402498
-75,2.4,0.6975,0.784698521029454
-75,2.4,0.705,0.972382240917629
-75,2.4,0.7125,1.0930563359685
-75,2.4,0.72,1.13984046693956
-75,2.4,0.7275,1.11072025402577
-75,2.4,0.735,1.00872120799181
-75,2.4,0.7425,0.841740967643117
-75,2.4,0.75,0.622042129303603
-74.25,2.4,-0.75,0.103742418818085
-74.25,2.4,-0.7425,0.39571006431796
-74.25,2.4,-0.735,0.666554943114769
-74.25,2.4,-0.7275,0.896604715462782
-74.25,2.4,-0.72,1.06897338629093
-74.25,2.4,-0.7125,1.17073953168873
-74.25,2.4,-0.705,1.1938270845528
-74.25,2.4,-0.6975,1.13553339859516
-74.25,2.4,-0.69,0.998676390973625
-74.25,2.4,-0.6825,0.791360559783107
-74.25,2.4,-0.675,0.526388483890252
-74.25,2.4,-0.6675,0.220368146097287
-74.25,2.4,-0.66,-0.107414479509613
-74.25,2.4,-0.6525,-0.43649087943865
-74.25,2.4,-0.645,-0.745610413915076
-74.25,2.4,-0.6375,-1.0155698628293
-74.25,2.4,-0.63,-1.22934835742271
-74.25,2.4,-0.6225,-1.37339877866259
-74.25,2.4,-0.615,-1.4384196290034
-74.25,2.4,-0.6075,-1.41984429700977
-74.25,2.4,-0.6,-1.31802846658615
-74.25,2.4,-0.5925,-1.13813652638998
-74.25,2.4,-0.585,-0.889746683288201
-74.25,2.4,-0.5775,-0.586210913033624
-74.25,2.4,-0.57,-0.243818980766789
-74.25,2.4,-0.5625,0.119175082435524
-74.25,2.4,-0.555,0.483654368006974
-74.25,2.4,-0.5475,0.830474582778263
-74.25,2.4,-0.54,1.14180371248089
-74.25,2.4,-0.5325,1.40181458005246
-74.25,2.4,-0.525,1.5974891446347
-74.25,2.4,-0.5175,1.71919170320851
-74.25,2.4,-0.51,1.76103991273885
-74.25,2.4,-0.5025,1.72106590747483
-74.25,2.4,-0.495,1.60117194509177
-74.25,2.4,-0.4875,1.40689592654112
-74.25,2.4,-0.48,1.14701126335073
-74.25,2.4,-0.4725,0.832992540512785
-74.25,2.4,-0.465,0.478383039626376
-74.25,2.4,-0.4575,0.0981024057480248
-74.25,2.4,-0.45,-0.292267329308491
-74.25,2.4,-0.4425,-0.677181281540028
-74.25,2.4,-0.435,-1.04178457540861
-74.25,2.4,-0.4275,-1.3724914850064
-74.25,2.4,-0.42,-1.65746990075213
-74.25,2.4,-0.4125,-1.88701673021614
-74.25,2.4,-0.405,-2.05381646966829
-74.25,2.4,-0.3975,-2.15308151122914
-74.25,2.4,-0.39,-2.18257847541172
-74.25,2.4,-0.3825,-2.14254974736507
-74.25,2.4,-0.375,-2.03554328944868
-74.25,2.4,-0.3675,-1.86614410706844
-74.25,2.4,-0.36,-1.64076734721793
-74.25,2.4,-0.3525,-1.36715750843698
-74.25,2.4,-0.345,-1.05413297109377
-74.25,2.4,-0.3375,-0.711186065674643
-74.25,2.4,-0.33,-0.348122419766117
-74.25,2.4,-0.3225,0.0252764214807239
-74.25,2.4,-0.315,0.39955663366521
-74.25,2.4,-0.3075,0.765854213107496
-74.25,2.4,-0.3,1.11611040934784
-74.25,2.4,-0.2925,1.44323790019888
-74.25,2.4,-0.285,1.74123742857408
-74.25,2.4,-0.2775,2.00526662506458
-74.25,2.4,-0.27,2.23166439240488
-74.25,2.4,-0.2625,2.41793550412326
-74.25,2.4,-0.255,2.56270096833641
-74.25,2.4,-0.2475,2.6656202457933
-74.25,2.4,-0.24,2.72729162042832
-74.25,2.4,-0.2325,2.74913694289609
-74.25,2.4,-0.225,2.73327665151334
-74.25,2.4,-0.2175,2.68240047247228
-74.25,2.4,-0.21,2.59963856382969
-74.25,2.4,-0.2025,2.48843714475613
-74.25,2.4,-0.195,2.35244188746411
-74.25,2.4,-0.1875,2.19539158285785
-74.25,2.4,-0.18,2.02102258165793
-74.25,2.4,-0.1725,1.83301864447913
-74.25,2.4,-0.165,1.63486196638857
-74.25,2.4,-0.1575,1.42985348090039
-74.25,2.4,-0.15,1.22104954299954
-74.25,2.4,-0.1425,1.0112334101106
-74.25,2.4,-0.135,0.802897939420211
-74.25,2.4,-0.1275,0.598238257404586
-74.25,2.4,-0.12,0.399153057969837
-74.25,2.4,-0.1125,0.207253149373379
-74.25,2.4,-0.105,0.0238758863694855
-74.25,2.4,-0.0975,-0.149895817965522
-74.25,2.4,-0.09,-0.313211116903324
-74.25,2.4,-0.0825,-0.465426596290214
-74.25,2.4,-0.075,-0.606080363123426
-74.25,2.4,-0.0675,-0.734865707257552
-74.25,2.4,-0.06,-0.851605057420083
-74.25,2.4,-0.0525,-0.956224828427452
-74.25,2.4,-0.045,-1.04873164121624
-74.25,2.4,-0.0375,-1.12919029362115
-74.25,2.4,-0.03,-1.19770376932516
-74.25,2.4,-0.0225,-1.25439549578634
-74.25,2.4,-0.015,-1.29939399918131
-74.25,2.4,-0.0075,-1.3328200548501
-74.25,2.4,0,-1.35477639424608
-74.25,2.4,0.0075,-1.36507863503857
-74.25,2.4,0.015,-1.3642925365044
-74.25,2.4,0.0225,-1.35217399099243
-74.25,2.4,0.03,-1.32870238111939
-74.25,2.4,0.0375,-1.29382654935547
-74.25,2.4,0.045,-1.2474701111718
-74.25,2.4,0.0525,-1.18953933728038
-74.25,2.4,0.06,-1.1199335745382
-74.25,2.4,0.0675,-1.03855815685137
-74.25,2.4,0.075,-0.945339730548467
-74.25,2.4,0.0825,-0.840243881471191
-74.25,2.4,0.09,-0.723294902036667
-74.25,2.4,0.0975,-0.594597474744544
-74.25,2.4,0.105,-0.454359973517224
-74.25,2.4,0.1125,-0.302918995975613
-74.25,2.4,0.12,-0.140764639104545
-74.25,2.4,0.1275,0.0314340805491593
-74.25,2.4,0.135,0.212804380299299
-74.25,2.4,0.1425,0.402246280039482
-74.25,2.4,0.15,0.59841155076662
-74.25,2.4,0.1575,0.799686123444711
-74.25,2.4,0.165,1.0041771406777
-74.25,2.4,0.1725,1.20970591311079
-74.25,2.4,0.18,1.41380809013483
-74.25,2.4,0.1875,1.61374236035551
-74.25,2.4,0.195,1.80644888827439
-74.25,2.4,0.2025,1.98885637284785
-74.25,2.4,0.21,2.15745159013584
-74.25,2.4,0.2175,2.30868411538549
-74.25,2.4,0.225,2.43893706688966
-74.25,2.4,0.2325,2.54460719100916
-74.25,2.4,0.24,2.62219737171282
-74.25,2.4,0.2475,2.6684204061134
-74.25,2.4,0.255,2.68031222773385
-74.25,2.4,0.2625,2.65535205160629
-74.25,2.4,0.27,2.59158618477313
-74.25,2.4,0.2775,2.48775152390251
-74.25,2.4,0.285,2.34339408632673
-74.25,2.4,0.2925,2.1589773349895
-74.25,2.4,0.3,1.93597460862866
-74.25,2.4,0.3075,1.67693970512467
-74.25,2.4,0.315,1.38554963692534
