"_v [cm]","Freq [GHz]","_u []","re(NearEX) [V_per_meter]"
-75,2.4,0.24,0.190117349355541
-75,2.4,0.2475,0.485036753960459
-75,2.4,0.255,0.776793377380636
-75,2.4,0.2625,1.06060298215859
-75,2.4,0.27,1.33134547172994
-75,2.4,0.2775,1.58366476596749
-75,2.4,0.285,1.81209034593725
-75,2.4,0.2925,2.01117933524781
-75,2.4,0.3,2.17567693728964
-75,2.4,0.3075,2.30069191229587
-75,2.4,0.315,2.3818825968287
-75,2.4,0.3225,2.41564779301747
-75,2.4,0.33,2.39931574743456
-75,2.4,0.3375,2.33132346974044
-75,2.4,0.345,2.21137788445357
-75,2.4,0.3525,2.04058984266701
-75,2.4,0.36,1.82157191914532
-75,2.4,0.3675,1.55849125151424
-75,2.4,0.375,1.25706949679805
-75,2.4,0.3825,0.924487951459229
-75,2.4,0.39,0.569439286168095
-75,2.4,0.3975,0.201625867788741
-75,2.4,0.405,-0.168257368612035
-75,2.4,0.4125,-0.528908981707858
-75,2.4,0.42,-0.868794324881458
-75,2.4,0.4275,-1.17656284837254
-75,2.4,0.435,-1.44149503459986
-75,2.4,0.4425,-1.65396141571848
-75,2.4,0.45,-1.80587347546687
-75,2.4,0.4575,-1.89110435367987
-75,2.4,0.465,-1.90585636482822
-75,2.4,0.4725,-1.84895259470731
-75,2.4,0.48,-1.72203138822522
-75,2.4,0.4875,-1.5296254596558
-75,2.4,0.495,-1.27911164150391
-75,2.4,0.5025,-0.980522848617598
-75,2.4,0.51,-0.646220486170633
-75,2.4,0.5175,-0.290432995517261
-75,2.4,0.525,0.0713258550632443
-75,2.4,0.5325,0.422937407044563
-75,2.4,0.54,0.748428313366112
-75,2.4,0.5475,1.03275511408907
-75,2.4,0.555,1.26258288584636
-75,2.4,0.5625,1.42701474620715
-75,2.4,0.57,1.51837185247874
-75,2.4,0.5775,1.53212186270417
-75,2.4,0.585,1.46806094329217
-75,2.4,0.5925,1.32988911946776
-75,2.4,0.6,1.12525550428274
-75,2.4,0.6075,0.865442365187001
-75,2.4,0.615,0.564829064254816
-75,2.4,0.6225,0.240156460269984
-75,2.4,0.63,-0.0903738333495092
-75,2.4,0.6375,-0.408118393196283
-75,2.4,0.645,-0.69507186400728
-75,2.4,0.6525,-0.934943281440564
-75,2.4,0.66,-1.11416097881123
-75,2.4,0.6675,-1.22273921706727
-75,2.4,0.675,-1.2549452977337
-75,2.4,0.6825,-1.20971608993234
-75,2.4,0.69,-1.09078721495374
-75,2.4,0.6975,-0.906515837465712
-75,2.4,0.705,-0.669398055212816
-75,2.4,0.7125,-0.395302951115769
-75,2.4,0.72,-0.102465994792717
-75,2.4,0.7275,0.189696891952323
-75,2.4,0.735,0.461878158442666
-75,2.4,0.7425,0.696183582674839
-75,2.4,0.75,0.877362171095768
-74.25,2.4,-0.75,1.0928160720264
-74.25,2.4,-0.7425,1.04176525989604
-74.25,2.4,-0.735,0.914088169539788
-74.25,2.4,-0.7275,0.717715233163329
-74.25,2.4,-0.72,0.465485593235534
-74.25,2.4,-0.7125,0.174216917896386
-74.25,2.4,-0.705,-0.136492013836715
-74.25,2.4,-0.6975,-0.4456344892191
-74.25,2.4,-0.69,-0.732243795991872
-74.25,2.4,-0.6825,-0.976813079102744
-74.25,2.4,-0.675,-1.16258991856726
-74.25,2.4,-0.6675,-1.27666073468653
-74.25,2.4,-0.66,-1.31075787224498
-74.25,2.4,-0.6525,-1.26148863555266
-74.25,2.4,-0.645,-1.13144392493498
-74.25,2.4,-0.6375,-0.927641917743413
-74.25,2.4,-0.63,-0.661830721430886
-74.25,2.4,-0.6225,-0.349510900034365
-74.25,2.4,-0.615,-0.00893077009802039
-74.25,2.4,-0.6075,0.340058853800453
-74.25,2.4,-0.6,0.677213570985569
-74.25,2.4,-0.5925,0.983090896280015
-74.25,2.4,-0.585,1.2401601095351
-74.25,2.4,-0.5775,1.43376337742305
-74.25,2.4,-0.57,1.55287767237019
-74.25,2.4,-0.5625,1.5906419818112
-74.25,2.4,-0.555,1.54453116867321
-74.25,2.4,-0.5475,1.41673357160851
-74.25,2.4,-0.54,1.21343329340462
-74.25,2.4,-0.5325,0.944658741164753
-74.25,2.4,-0.525,0.623584170187497
-74.25,2.4,-0.5175,0.265762457336215
-74.25,2.4,-0.51,-0.111729907821732
-74.25,2.4,-0.5025,-0.491184647114786
-74.25,2.4,-0.495,-0.85514097788914
-74.25,2.4,-0.4875,-1.18720730894605
-74.25,2.4,-0.48,-1.47278680228499
-74.25,2.4,-0.4725,-1.69967636633256
-74.25,2.4,-0.465,-1.85851774248561
-74.25,2.4,-0.4575,-1.94308880674556
-74.25,2.4,-0.45,-1.95043245414442
-74.25,2.4,-0.4425,-1.88082896178975
-74.25,2.4,-0.435,-1.73762512975178
-74.25,2.4,-0.4275,-1.52693948142682
-74.25,2.4,-0.42,-1.25726718598542
-74.25,2.4,-0.4125,-0.939011077554102
-74.25,2.4,-0.405,-0.583966224755345
-74.25,2.4,-0.3975,-0.20478507454553
-74.25,2.4,-0.39,0.185551549531587
-74.25,2.4,-0.3825,0.574235128197505
-74.25,2.4,-0.375,0.949082949937813
-74.25,2.4,-0.3675,1.29886376799441
-74.25,2.4,-0.36,1.61388119786633
-74.25,2.4,-0.3525,1.88581993566844
-74.25,2.4,-0.345,2.10816799302291
-74.25,2.4,-0.3375,2.27623405468415
-74.25,2.4,-0.33,2.38715641191587
-74.25,2.4,-0.3225,2.43984600396743
-74.25,2.4,-0.315,2.43487296269304
-74.25,2.4,-0.3075,2.37430726797199
-74.25,2.4,-0.3,2.2615247026739
-74.25,2.4,-0.2925,2.10098930624909
-74.25,2.4,-0.285,1.89802304612243
-74.25,2.4,-0.2775,1.6585725488501
-74.25,2.4,-0.27,1.3889815569522
-74.25,2.4,-0.2625,1.09577640048033
-74.25,2.4,-0.255,0.785470287256583
-74.25,2.4,-0.2475,0.464390705509715
-74.25,2.4,-0.24,0.138532768438409
-74.25,2.4,-0.2325,-0.186560030512691
-74.25,2.4,-0.225,-0.505887397000593
-74.25,2.4,-0.2175,-0.815056933405127
-74.25,2.4,-0.21,-1.11032358471638
-74.25,2.4,-0.2025,-1.38860611243775
-74.25,2.4,-0.195,-1.64748333454458
-74.25,2.4,-0.1875,-1.88517314923346
-74.25,2.4,-0.18,-2.10038661238987
-74.25,2.4,-0.1725,-2.29271133358904
-74.25,2.4,-0.165,-2.46194002753119
-74.25,2.4,-0.1575,-2.60840199263743
-74.25,2.4,-0.15,-2.73280934993429
-74.25,2.4,-0.1425,-2.83619460329663
-74.25,2.4,-0.135,-2.91984946231575
-74.25,2.4,-0.1275,-2.98526639244815
-74.25,2.4,-0.12,-3.03408401684228
-74.25,2.4,-0.1125,-3.06803717487303
-74.25,2.4,-0.105,-3.0889121519752
-74.25,2.4,-0.0975,-3.09850733917907
-74.25,2.4,-0.09,-3.09859936173806
-74.25,2.4,-0.0825,-3.09091453529905
-74.25,2.4,-0.075,-3.07710536446588
-74.25,2.4,-0.0675,-3.05873169035452
-74.25,2.4,-0.06,-3.0372460179531
-74.25,2.4,-0.0525,-3.01398250732606
-74.25,2.4,-0.045,-2.99014909119628
-74.25,2.4,-0.0375,-2.9668221814005
-74.25,2.4,-0.03,-2.94494344446142
-74.25,2.4,-0.0225,-2.92531815863931
-74.25,2.4,-0.015,-2.90861470824784
-74.25,2.4,-0.0075,-2.8953648230811
-74.25,2.4,0,-2.88596422925876
-74.25,2.4,0.0075,-2.88068734081205
-74.25,2.4,0.015,-2.87963745902956
-74.25,2.4,0.0225,-2.882817818474
-74.25,2.4,0.03,-2.89008676317913
-74.25,2.4,0.0375,-2.90116896261737
-74.25,2.4,0.045,-2.91565520453741
-74.25,2.4,0.0525,-2.93300213241108
-74.25,2.4,0.06,-2.95253213426885
-74.25,2.4,0.0675,-2.9734336540191
-74.25,2.4,0.075,-2.99476225707267
-74.25,2.4,0.0825,-3.01544283779744
-74.25,2.4,0.09,-3.03427340521055
-74.25,2.4,0.0975,-3.0499309231917
-74.25,2.4,0.105,-3.06097970978489
-74.25,2.4,0.1125,-3.06588291388505
-74.25,2.4,0.12,-3.06301758350223
-74.25,2.4,0.1275,-3.05069381435311
-74.25,2.4,0.135,-3.02717841715811
-74.25,2.4,0.1425,-2.99072346322851
-74.25,2.4,0.15,-2.93959995754504
-74.25,2.4,0.1575,-2.87213674399219
-74.25,2.4,0.165,-2.78676456707195
-74.25,2.4,0.1725,-2.68206499788989
-74.25,2.4,0.18,-2.55682368072689
-74.25,2.4,0.1875,-2.4100870733163
-74.25,2.4,0.195,-2.24140199636624
-74.25,2.4,0.2025,-2.05016199444798
-74.25,2.4,0.21,-1.83671846134776
-74.25,2.4,0.2175,-1.60175170518455
-74.25,2.4,0.225,-1.34648766705289
-74.25,2.4,0.2325,-1.07274038601456
-74.25,2.4,0.24,-0.782943445581008
-74.25,2.4,0.2475,-0.480167415906816
-74.25,2.4,0.255,-0.168120311899116
-74.25,2.4,0.2625,0.148871771770203
-74.25,2.4,0.27,0.465906391547877
-74.25,2.4,0.2775,0.777570926230324
-74.25,2.4,0.285,1.07803461160021
-74.25,2.4,0.2925,1.3611670238541
-74.25,2.4,0.3,1.62068257955851
-74.25,2.4,0.3075,1.85030943974176
-74.25,2.4,0.315,2.04397989311098
-74.25,2.4,0.3225,2.196037891568
-74.25,2.4,0.33,2.30145797688841
-74.25,2.4,0.3375,2.35606844001238
-74.25,2.4,0.345,2.35677027425738
-74.25,2.4,0.3525,2.30174240951859
-74.25,2.4,0.36,2.19062293917793
-74.25,2.4,0.3675,2.02465566748473
-74.25,2.4,0.375,1.80679139874184
-74.25,2.4,0.3825,1.54163279835523
-74.25,2.4,0.39,1.23584704141521
-74.25,2.4,0.3975,0.897397045463003
-74.25,2.4,0.405,0.535853406812265
-74.25,2.4,0.4125,0.162030293145475
-74.25,2.4,0.42,-0.212328250620413
-74.25,2.4,0.4275,-0.574929543432077
-74.25,2.4,0.435,-0.913370615341672
-74.25,2.4,0.4425,-1.21561911405956
-74.25,2.4,0.45,-1.47051838297958
-74.25,2.4,0.4575,-1.66829500779621
-74.25,2.4,0.465,-1.80104460572042
-74.25,2.4,0.4725,-1.8631701542523
-74.25,2.4,0.48,-1.85174694911585
-74.25,2.4,0.4875,-1.76678951702164
-74.25,2.4,0.495,-1.61139859335166
-74.25,2.4,0.5025,-1.39177062705552
-74.25,2.4,0.51,-1.1170581156725
-74.25,2.4,0.5175,-0.799076216347998
-74.25,2.4,0.525,-0.451859229617523
-74.25,2.4,0.5325,-0.09107931500542
-74.25,2.4,0.54,0.266651313358453
-74.25,2.4,0.5475,0.604564996653346
-74.25,2.4,0.555,0.906572873773259
-74.25,2.4,0.5625,1.15810571512043
-74.25,2.4,0.57,1.34704230490124
-74.25,2.4,0.5775,1.46391996635824
-74.25,2.4,0.585,1.50324381901329
-74.25,2.4,0.5925,1.46342208685846
-74.25,2.4,0.6,1.34707060678607
-74.25,2.4,0.6075,1.16097407688698
-74.25,2.4,0.615,0.915805186090344
-74.25,2.4,0.6225,0.625606190450043
-74.25,2.4,0.63,0.307052812702587
-74.25,2.4,0.6375,-0.0214645704963375
-74.25,2.4,0.645,-0.340893685939484
-74.25,2.4,0.6525,-0.632646839581018
-74.25,2.4,0.66,-0.879732750672806
-74.25,2.4,0.6675,-1.06782139441996
-74.25,2.4,0.675,-1.18617023810493
-74.25,2.4,0.6825,-1.22834599394041
-74.25,2.4,0.69,-1.19268668273271
-74.25,2.4,0.6975,-1.0824639616362
-74.25,2.4,0.705,-0.905724503501357
-74.25,2.4,0.7125,-0.674810575772576
-74.25,2.4,0.72,-0.405582432907608
-74.25,2.4,0.7275,-0.116387106036276
-74.25,2.4,0.735,0.173162023193757
-74.25,2.4,0.7425,0.443514452340364
-74.25,2.4,0.75,0.676529352107579
-73.5,2.4,-0.75,1.02281549145164
-73.5,2.4,-0.7425,0.897326214227919
-73.5,2.4,-0.735,0.703050465092942
-73.5,2.4,-0.7275,0.452906317166197
-73.5,2.4,-0.72,0.163884990650546
-73.5,2.4,-0.7125,-0.144177650841823
-73.5,2.4,-0.705,-0.450015180786956
-73.5,2.4,-0.6975,-0.732424600332211
-73.5,2.4,-0.69,-0.971732224311436
-73.5,2.4,-0.6825,-1.15112908399983
-73.5,2.4,-0.675,-1.25778628451423
-73.5,2.4,-0.6675,-1.28367945367673
-73.5,2.4,-0.66,-1.2260743367616
-73.5,2.4,-0.6525,-1.08734200822393
-73.5,2.4,-0.645,-0.875930657135438
-73.5,2.4,-0.6375,-0.604058944940788
-73.5,2.4,-0.63,-0.287964963895479
-73.5,2.4,-0.6225,0.053417393145206
